Source	Date	Title	Description	URL	Movie	Coding1	Coding2
Polygon	2024-11-01T21:00:51Z	The best movies new to streaming this November	Halloween is over, and you know what that means. That’s right, we only have… *checks calendar* 363 days until next Halloween! While we wait in the meantime, there’s still a bunch of exciting new releases on the horizon to look forward to, including Gladiator …	https://www.polygon.com/what-to-watch/471571/best-new-movies-netflix-amazon-prime-max-hulu-november-2024
IndieWire	2024-10-31T14:15:00Z	November Might Debut Four $100 Million-Plus Movies, Led by ‘Wicked,’ ‘Gladiator 2,’ and ‘Moana 2’	The November movie box office could yield four $100 million-plus titles including 'Wicked' and 'Gladiator 2.' And after a lame October.	https://www.indiewire.com/news/box-office/wicked-gladiator-2-november-box-office-1235061054/
Business Insider	2024-10-31T11:55:01Z	I tried Starbucks' green and pink 'Wicked'-themed drinks. I can't stop thinking about the one without coffee.	I went to Starbucks to try its limited-edition drinks for the upcoming "Wicked" movie: Elphaba's cold brew and Glinda's Pink Potion. One was better.	https://www.businessinsider.com/starbucks-wicked-drinks-elphaba-cold-brew-glinda-pink-potion-review-2024-10
Variety	2024-11-01T21:20:00Z	24 Best Movies New to Streaming in November: ‘Deadpool & Wolverine,’ ‘Twisters,’ ‘The Substance,’ ‘Emilia Perez’ and More	The holiday movie season kicks off in theaters this month with major studio tentpoles like “Gladiator II,” “Wicked” and “Moana 2,” but streaming platforms are also getting a dose of heavy-hitters as some of the biggest and buzziest movies of 2024 make their d…	https://variety.com/lists/best-movies-streaming-november-2024/
Gizmodo.com	2024-11-01T13:00:54Z	Sega’s Ready to Bring Another Video Game Franchise to the Big Screen	Plus, spooky season is forever with new looks at Heretic, and more!	https://gizmodo.com/sega-house-of-the-dead-movie-paul-ws-anderson-2000519015
/FILM	2024-10-31T18:17:36Z	The Wicked And Gladiator II Box Office Estimates Suggests One Thing About Both Movies	The box office projections for both Wicked and Gladiator II should come as encouraging news to the studios behind them and theaters alike.	https://www.slashfilm.com/1702497/wicked-gladiator-2-box-office-estimates/
[Removed]	2024-10-30T17:34:02Z	[Removed]	[Removed]	https://removed.com
Rolling Stone	2024-11-01T17:16:08Z	‘Wicked,’ ‘Gladiator II,’ and All the Films and TV Shows We’re Watching This November	From 'Wicked' to 'Gladiatior II,' here are the best theatrical movie releases and TV shows streaming online that we're watching in November 2024.	http://www.rollingstone.com/product-recommendations/lifestyle/what-to-watch-november-2024-best-movies-tv-shows-wicked-1235150422/
Deadline	2024-10-31T16:01:03Z	‘Wicked’ To Cast $80M+ Opening Spell, ‘Gladiator II’ To Roar $65M – Box Office Early Look	Everyone will begin returning to the movies just before Thanksgiving on Nov. 22 as Universal’s Wicked and Paramount’s Gladiator II just hit tracking with respective openings of $80M+ and $65M. Both have potential for upside. Wicked is very hot with women, and…	http://deadline.com/2024/10/wicked-gladiator-ii-box-office-opening-1236163352/
Buzzfeed	2024-11-01T06:42:08Z	Connie Nielsen Worried About The "Enormous Burden" Of Paul Mescal's Lead Role In "GLADIATOR II"	I will be seated for Denzel's earrings.View Entire Post ›	https://www.buzzfeed.com/angelinebarion/connie-nielsen-gladiator-ii
/FILM	2024-11-01T19:00:56Z	Heretic Aims To Make Hugh Grant A Horror Star At The Box Office	A24's Hugh Grant-led horror movie Heretic could be just the shot in the arm the box office needs to get November started on a strong note.	https://www.slashfilm.com/1702340/hugh-grant-horror-movie-heretic-box-office-prediction/
/FILM	2024-11-01T17:00:30Z	Heretic Directors Reveal The Real-Life Cult Leader Who Inspired Hugh Grant's Villain [Exclusive Interview]	In our interview with Heretic directors Scott Beck and Bryan Woods, the duo reveal the dark inspirations behind Hugh Grant's Mr. Reed.	https://www.slashfilm.com/1701494/heretic-directors-scott-beck-bryan-woods-interview/
HYPEBEAST	2024-10-29T07:46:24Z	New ‘Wicked’ Featurette Offers A Look Behind the Scenes	Ariana Grande and Cynthia Erivo are showcasing their exceptional vocal abilities in the highly anticipated Wicked movie through an ambitious artistic choice -- performing all their songs live on set. A newly released featurette gives audiences a glimpse behin…	https://hypebeast.com/2024/10/new-wicked-featurette-singing-live-release-info
Slickdeals.net	2024-11-02T00:02:37Z	30'' Gladiator GearWall Solid Shelf (Hammered Granite) $29.95	Amazon has *30'' Gladiator GearWall Solid Shelf* (Hammered Granite, GAWA30SF) on sale for *$29.97*. *Shipping is free* w/ Prime or on $35+ orders.     Walmart has *30'' Gladiator GearWall Solid...	https://slickdeals.net/f/17859597-30-gladiator-gearwall-solid-shelf-hammered-granite-29-97-free-shipping-w-prime-or-on-35?utm_source=rss&utm_content=fp&utm_medium=RSS2
/FILM	2024-10-30T18:27:55Z	The First Reactions To The Wicked Movie Have Critics United	Does the first Wicked movie defy gravity? Here's what the first wave of reactions are saying about the Broadway musical adaptation.	https://www.slashfilm.com/1701424/wicked-movie-reactions/
/FILM	2024-10-31T18:39:17Z	A Top Historian Isn't Holding Back On Ridley Scott's Gladiator 2	You'll never believe it, but Ridley Scott's Gladiator II isn't the most historically accurate film ever made according to a major historian.	https://www.slashfilm.com/1702548/historian-not-holding-back-gladiator-2-ridley-scott/
Rolling Stone	2024-10-29T15:27:47Z	Cynthia Erivo Says Impassioned Response to ‘Wicked’ Fan Edit Was ‘Human Moment’	Cynthia Erivo has explained her heated response to fan-made edits of the 'Wicked' film poster that replicated Broadway version.	http://www.rollingstone.com/tv-movies/tv-movie-news/cynthia-erivo-response-to-wicked-fan-edit-human-moment-1235145933/
IndieWire	2024-10-30T22:00:00Z	Cynthia Erivo Amends Comments About Fan-Edited ‘Wicked’ Poster: I Just Wanted to ‘Protect’ the Character	Cynthia Erivo amended her comments about the 'Wicked' fan-edited poster after she said it was the 'most offensive' thing ever.	https://www.indiewire.com/news/general-news/cynthia-erivo-wicked-fan-poster-comments-protect-character-1235061466/
Slickdeals.net	2024-11-01T16:07:00Z	Xfinity Rewards Members: Fandango Movie Ticket to Wicked B1G1 Free	https://customer.xfinity.com/rewa...rn-shop_au  How to use 1.Copy your code, then visit Fandango to get tickets to see Wicked.      Pick out your tickets to the show.  2.Enter promo code at checkout.	https://slickdeals.net/f/17858517-xfinity-rewards-member-wicked-bogo-fandango-movie-tickets-free-to-claim?utm_source=rss&utm_content=fp&utm_medium=RSS2
Variety	2024-11-01T18:06:33Z	‘Wicked’ Artisans Explain Why Elphaba and Glinda’s Ozdust Ballroom Scene Is the ‘Heart of the Movie’: It’s ‘Where They Fall in Love With Each Other’	On Tuesday, 24 hours before one of SCAD Savannah Film Festival’s most anticipated panels, “Wicked: A First Look,” someone approached to inform that they would be in line at least an hour before. The anticipation was palpable. When “Wicked” cinematographer Ali…	https://variety.com/2024/artisans/news/wicked-ozdust-ballroom-scene-heart-of-movie-1236196278/
Boredpanda.com	2024-10-29T18:34:00Z	Cynthia Erivo Regrets Slamming Wicked Poster Fan Edit: “I Should’ve Called My Friends”	"I wanted to defend the character." Cynthia Erivo admitted that she should've reached out for advice before blasting fans for editing the poster of her upcoming movie, Wicked. The post Cynthia Erivo Regrets Slamming Wicked Poster Fan Edit: “I Should’ve Called…	https://www.boredpanda.com/cynthia-erivo-speaks-up-following-controversy-wicked-poster/
TMZ	2024-11-02T02:23:04Z	Ariana Grande and Ethan Slater Arrive in Sydney Arm in Arm Ahead of Wicked Premiere	Ariana Grande made a grand entrance into Sydney Friday, arriving arm-in-arm with her boyfriend and Wicked co-star Ethan Slater. They were joined by their fellow cast members Cynthia Erivo and Marissa Bode ahead of the the premiere of the highly…	https://www.tmz.com/2024/11/01/ag/
The Points Guy	2024-11-01T13:30:38Z	Six Senses doubles down on Italy, Hilton’s ‘Wicked’ suite and more hotel news you missed	Ready or not, November is here. And while there are plenty of reasons this particular November might not be everyone’s favorite, there are still a lot of good things in store, like booking a trip to one of the incredible new hotels now open (detailed below) o…	https://thepointsguy.com/news/hilton-wicked-suite-six-senses-italy/
